,0
A,0.9989913683294817
AAL,0.9993125366976912
AAPL,0.9993818438633778
ABBV,0.9996311282129029
ABT,0.9987325179487667
ACGL,0.9999954004017915
ACN,0.9992502308423181
ADBE,0.9989796144232583
ADI,0.9994528200710552
ADM,0.9995991804162498
ADP,0.9995995735157528
ADSK,0.9987487131300858
AEE,0.9987900824261787
AEP,0.9987034069907913
AES,0.9988770188762086
AFL,0.9997748864075886
AIG,0.9998637033477592
AIZ,0.9989899319747408
AJG,0.9997655158217363
AKAM,0.9986617622025751
ALB,1.0000587996008508
ALGN,0.9992757679551335
ALK,0.9991119764861155
ALL,0.9990155774360145
ALLE,0.9989102819302069
AMAT,1.0002786867925268
AMCR,0.9986594179744308
AMD,0.999446623251224
AME,0.9992914847800536
AMGN,0.99886359282794
AMP,0.9998653812968321
AMT,0.9983904666146787
AMZN,0.9986658420308744
ANET,1.0007178067229063
ANSS,0.9987367913228715
AON,0.999386853139188
AOS,0.9991709766208945
APA,1.0013917889826776
APD,0.9987628049297271
APH,0.9993615248824335
APTV,0.9989286021882916
ARE,0.9983432546330088
ATO,0.9991008136777486
ATVI,0.9989886322103793
AVB,0.9990060443044626
AVGO,1.0001252406936691
AVY,0.9992815459018362
AWK,0.9986527181153934
AXON,1.0001004422986077
AXP,0.999495553760305
AZO,0.9997554728696411
BA,0.9993302966092584
BAC,0.9991171443103937
BALL,0.9982143863522398
BAX,0.9979328946205708
BBWI,0.999593798123526
BBY,0.9984890875018619
BDX,0.9989927981774731
BEN,0.9993298361377069
BG,1.0001156264688613
BIIB,0.9990274843448678
BIO,0.9984067283507609
BK,0.9992080592854395
BKNG,0.9996960365498447
BKR,1.000431810243167
BLK,0.999071073442482
BMY,0.9988764267887025
BR,0.9991686693291248
BRO,0.9993962057320149
BSX,0.9990851507870013
BWA,0.999062725717794
BX,0.9999315180336017
BXP,0.9986174557893301
C,0.9988661119974926
CAG,0.9985537347650559
CAH,0.9997251296730967
CARR,0.9995690782668397
CAT,0.9996811654287403
CB,0.9995179746399724
CBOE,0.9994824292117771
CBRE,0.9995379363897727
CCI,0.9981578814002576
CCL,0.999587075668135
CDAY,0.9986911787081783
CDNS,0.9998837516295531
CDW,0.9994670950346014
CE,0.9990212380380059
CF,1.0003179876958348
CFG,0.9990818990966599
CHD,0.9987786671380635
CHRW,0.9987303611205716
CHTR,0.9982620209304115
CI,0.9995169883372644
CINF,0.9992325782026084
CL,0.9986931472502464
CLX,0.9984282091224417
CMA,0.9994143885873048
CMCSA,0.9988603357641762
CME,0.9991403639618031
CMG,0.9993880168449764
CMI,0.9989437406456753
CMS,0.9987022128355527
CNC,0.9988438851803793
CNP,0.9992924872368475
COF,0.9993727530576033
COO,0.998877754081666
COP,1.0008002498756734
COR,0.999645561495645
COST,0.9993719863274919
CPB,0.9986342804663695
CPRT,0.999406728040919
CPT,0.9989559080350431
CRL,0.9986714764629188
CRM,0.9986376191170765
CSCO,0.999346138408717
CSGP,0.9987190293967428
CSX,0.9990199955409226
CTAS,0.9992970589301247
CTLT,0.9982121661574902
CTRA,0.9998429290660916
CTSH,0.9987919452772223
CTVA,0.9995145002558402
CVS,0.9990347797305359
CVX,1.000062828668298
CZR,0.9991097186446195
D,0.9981480415825237
DD,0.9992679120659512
DE,0.9996080308023685
DFS,0.9995029968972203
DG,0.998434891070431
DGX,0.9989839154632741
DHI,0.9995194130222179
DHR,0.998976643465746
DIS,0.998324684315064
DLR,0.9986213525651005
DLTR,0.999507350272597
DOV,0.9991072149111385
DOW,0.9991176416550882
DPZ,0.9986905022503091
DRI,0.9994966806538169
DTE,0.9989192622432711
DUK,0.9988217841246987
DVA,0.9991003085314986
DVN,1.0016052853923338
DXC,0.9991996946468276
DXCM,0.9991377999196579
EA,0.9986323228032706
EBAY,0.9986650628338353
ECL,0.9986726445475526
ED,0.9989904335350328
EFX,0.9991130613894363
EG,0.9995975534651849
EIX,0.9992708610782352
EL,0.9983572319342822
ELV,0.9994937586577569
EMN,0.9989811718921581
EMR,0.9993137095271125
ENPH,0.9999131259024239
EOG,1.0010031501472088
EPAM,0.9989323114714094
EQIX,0.998778624876901
EQR,0.9990648189768467
EQT,1.0008432288194595
ES,0.9983600003062932
ESS,0.999007652861108
ETN,0.9998298994534611
ETR,0.9987419852630175
ETSY,0.9985830513884545
EVRG,0.9989504467413401
EW,0.9987566111115749
EXC,0.9994250656215063
EXPD,0.9991183369089867
EXPE,0.9992776639420985
EXR,0.9990850808631145
F,0.9998874291815438
FANG,1.0014976473048893
FAST,0.9991518660716409
FCX,1.0003249018068596
FDS,0.9991702656812738
FDX,0.9989115357805963
FE,0.9991405602282835
FFIV,0.9991089930512127
FI,0.998993995925256
FICO,0.999807066552223
FIS,0.9976557530824233
FITB,0.9991849820007729
FLT,0.9989293449760995
FMC,0.9986003913039695
FOX,0.9989482792885424
FOXA,0.9990663062663694
FRT,0.9992637200453399
FSLR,1.0004213042985912
FTNT,1.0002721643430985
FTV,0.9989597005050029
GD,0.9994266898301005
GE,1.000266955200686
GEN,0.9988618865037283
GILD,0.9991164106888141
GIS,0.9989534686142901
GL,0.9992033120411191
GLW,0.9988155401917244
GM,0.9990431002635121
GNRC,0.9984882858596875
GOOG,0.9995813033383831
GOOGL,0.9995793078352552
GPC,0.9994668851295387
GPN,0.9984063814637917
GRMN,0.998911653396107
GS,0.999498221354604
GWW,0.9996915440170415
HAL,1.0007569444289697
HAS,0.9985751204456917
HBAN,0.999253686092685
HCA,0.9998991685632154
HD,0.9990260322592348
HES,1.0009369460143334
HIG,0.9996958515155853
HII,0.9993887174337245
HLT,0.9995374091926548
HOLX,0.9989009476166887
HON,0.9989398413744929
HPE,0.9997118283416462
HPQ,0.9996322625292066
HRL,0.9984618191670248
HSIC,0.9990790188401536
HST,0.9994566896306064
HSY,0.9993250163520017
HUM,0.9990221910676103
HWM,1.0002132518488336
IBM,0.9992015141255657
ICE,0.9989210793592661
IDXX,0.9991424052721376
IEX,0.9990370240375217
IFF,0.998126841117404
ILMN,0.9981419475933654
INCY,0.9982903697522302
INTC,0.9983918618364089
INTU,0.9994583054785775
INVH,0.9989856916921948
IP,0.9987552761581018
IPG,0.999798170751847
IQV,0.9991857813586433
IR,0.9996202262491728
IRM,1.0000556669201168
ISRG,0.9991232190714386
